"game_id","date","Team","Opponent","Team_Score","Opponent_Score","Location","ADJO","ADJD","EFF","EFG_pct","TO_Pct","OR_Pct","FTR_Pct","ThreePointer_Pct","opp_ADJO","opp_ADJD","Opp_EFF","Opp_EFG_Pct","Opp_TO_Pct","Opp_OR_Pct","Opp_FTR_Pct","Opp_ThreePointer_Pct"
"Air ForceColorado St.1-28",2025-01-28,"Air Force","Colorado St.",58,79,"A",103.1,108.6,89.1,41.2,15.4,18.4,22.8,29.17,110.1,103,121.4,56.2,7.7,21.4,33.9,27.78
"Air ForceFresno St.1-17",2025-01-17,"Air Force","Fresno St.",65,74,"A",99.6,126.1,103.2,42.6,14.3,37.2,27.9,31.58,115.9,107.4,117.5,55.2,14.3,16,47.9,27.78
"Air ForceMiami OH12-2",2024-12-02,"Air Force","Miami OH",60,73,"A",98.5,110,96.5,59.6,20.9,13.8,27.7,45.45,108.9,108.1,117.5,60.4,14.5,26.9,28.3,30.77
"Air ForceNevada1-14",2025-01-14,"Air Force","Nevada",62,68,"A",104.5,98,97.6,49,20.5,20.6,33.3,37.04,99.3,108.9,107.1,61.7,15.7,20.7,48.9,42.86
"Air ForceNorthern Colorado12-16",2024-12-16,"Air Force","Northern Colorado",76,81,"A",102.4,109.9,106.6,51.8,8.4,11.1,60,5.56,111.9,111.4,113.6,57.5,18.2,26.9,43.4,38.46
"Air ForceSan Diego St.1-8",2025-01-08,"Air Force","San Diego St.",38,67,"A",76,93.5,58.2,37.5,32.2,7.4,61.1,25,90.9,71.1,102.7,40.6,16.9,52.2,27.5,23.08
"Air ForceSan Jose St.2-1",2025-02-01,"Air Force","San Jose St.",64,75,"A",100.5,108.8,98.8,42.5,20.1,41.5,28.3,41.18,109.5,108.1,115.8,59.6,17,26.7,42.3,50
"Air ForceStony Brook12-7",2024-12-07,"Air Force","Stony Brook",69,61,"N",90.3,92.3,99.2,64.3,31.6,20,45.2,33.33,84.8,106,87.7,39.8,24.4,35.9,28.8,14.29
"Air ForceWright St.11-30",2024-11-30,"Air Force","Wright St.",57,70,"A",87.1,110.6,91.3,44.3,24,37.1,28.3,25,109.4,96.1,112.2,60.6,11.2,6.9,23.1,45
"AkronArkansas St.11-4",2024-11-04,"Akron","Arkansas St.",75,80,"A",99.6,96.2,93.7,41.8,17.5,36.5,16.5,29.41,101.3,89.9,100,52.7,18.7,26.8,8.2,30
"AkronBowling Green1-3",2025-01-03,"Akron","Bowling Green",71,68,"A",89,98.7,96.4,47.8,16.3,23.3,13.4,28.57,96,90.2,92.4,40.9,20.4,37.8,31.8,32
"AkronBuffalo1-21",2025-01-21,"Akron","Buffalo",90,58,"A",109.4,83.9,116.5,68,24.6,25.9,14.8,52,77.5,110.6,75.1,37,12.9,16,18.8,25
"AkronEastern Michigan1-11",2025-01-11,"Akron","Eastern Michigan",105,81,"A",126,113.4,137.4,68,18.3,48,42.6,42.86,110.3,129.2,106,51.6,19.6,28.9,34.9,32.14
"AkronJackson St.12-21",2024-12-21,"Akron","Jackson St.",68,50,"N",91.4,79.6,95,41.7,29.4,50,28.8,23.08,74.5,87.5,69.9,33.9,23.8,27.7,28.8,28.57
"AkronKent St.1-31",2025-01-31,"Akron","Kent St.",85,71,"A",133.9,100.4,117,56.6,16.5,32.4,36.1,40.74,95.4,115.7,97.7,39.7,8.3,21.1,39.7,24
"AkronMilwaukee12-15",2024-12-15,"Akron","Milwaukee",81,100,"N",98.7,116.4,95.4,52.8,20,19,15.3,40,119.4,91.7,117.8,66.4,25.9,37.5,31.2,57.89
"AkronNorthern Illinois1-28",2025-01-28,"Akron","Northern Illinois",80,70,"A",100.7,103.4,105.4,50.8,21.1,35,33.3,30.3,93.4,101.3,92.3,45.5,15.8,12.8,51.8,30.43
"AkronPrinceton12-30",2024-12-30,"Akron","Princeton",75,76,"A",104.5,98.7,100.9,47.7,16.1,29.4,26.6,30.43,100.9,99.5,102.3,55.1,16.1,15.6,30.5,35
"AkronSaint Mary's11-12",2024-11-12,"Akron","Saint Mary's",68,87,"A",111.6,108.2,96.2,46.9,14.1,16.7,12.3,46.43,122.1,94.7,123.1,53.6,15.6,51.3,25.7,26.32
"AkronYale12-20",2024-12-20,"Akron","Yale",58,74,"N",88.2,94.3,81.1,38.8,18.2,16.3,29.3,33.33,103,79.7,103.5,51.8,25.2,40.6,37.5,26.67
"Alabama A&MAlcorn St.1-11",2025-01-11,"Alabama A&M","Alcorn St.",52,62,"A",79.4,96.9,77.7,45.9,32.9,33.3,20.4,25,81.2,91.7,92.7,43,23.9,37.1,29.8,9.09
"Alabama A&MBethune Cookman2-3",2025-02-03,"Alabama A&M","Bethune Cookman",75,89,"A",114.2,135.9,107.5,50,15.8,28.2,16.9,36.67,112.9,125.3,127.5,54,18.6,52.9,41.9,23.81
"Alabama A&MChattanooga12-15",2024-12-15,"Alabama A&M","Chattanooga",63,85,"A",102.8,127,102,53.6,16.2,28.1,23.6,52.38,122.4,118.6,137.6,65.3,16.2,34.6,49,43.75
"Alabama A&MFlorida A&M2-1",2025-02-01,"Alabama A&M","Florida A&M",79,95,"A",108.5,145.7,114.8,50.8,17.4,46.2,50,33.33,123.3,132.6,138.1,64.9,17.4,38.7,45.6,50
"Alabama A&MGeorgia Tech12-28",2024-12-28,"Alabama A&M","Georgia Tech",49,92,"A",72.4,108.9,61.6,26.4,23.9,35.1,23.6,24.24,99.6,76.6,115.7,62.3,23.9,34.5,34.4,47.62
"Alabama A&MGeorgia11-19",2024-11-19,"Alabama A&M","Georgia",45,93,"A",81.1,114,62.9,35.2,29.3,23.1,22.2,28.57,110.2,80.8,129.9,61.3,22.4,56.7,77.4,36
"Alabama A&MJackson St.1-13",2025-01-13,"Alabama A&M","Jackson St.",93,103,"A",94.8,106.9,91.7,48.6,30.6,40.9,43.2,37.5,90,106.6,101.6,45.1,14.8,30,47.6,38.46
"Alabama A&MTennessee St.11-16",2024-11-16,"Alabama A&M","Tennessee St.",71,81,"A",88.8,100.6,87.3,37.5,20.9,41.8,31.6,15.79,88.5,101.3,99.6,53.4,24.6,36.1,54.2,35.71
"Alabama A&MUAB12-18",2024-12-18,"Alabama A&M","UAB",67,96,"A",89.3,115.3,90.1,40.4,24.2,42.9,29.4,30,116.7,102.6,129.1,48,12.1,53.5,40.5,38.89
"Alabama St.Akron11-24",2024-11-24,"Alabama St.","Akron",78,97,"A",112.1,121.8,106.1,53,13.6,20.5,22.7,48.48,119.7,114.6,131.9,57.2,15,43.9,33.3,42.86
"Alabama St.Alabama A&M1-18",2025-01-18,"Alabama St.","Alabama A&M",69,65,"A",90.5,106.5,99.7,38.8,14.5,45.5,37.3,24,89.1,102.7,93.9,41.1,21.7,38.6,32.3,27.27
"Alabama St.Alcorn St.1-13",2025-01-13,"Alabama St.","Alcorn St.",65,67,"A",99.9,113.3,101.7,45.1,15.6,38.1,27.9,31.43,96.4,108,104.8,48.9,20.3,26.1,65.9,31.25
"Alabama St.Bethune Cookman2-1",2025-02-01,"Alabama St.","Bethune Cookman",64,67,"A",91.6,102.4,89.1,45.6,13.9,14.6,36.8,37.04,86.4,94,93.3,47.2,18.1,26.3,66,11.11
"Alabama St.Cincinnati11-27",2024-11-27,"Alabama St.","Cincinnati",59,77,"A",96.5,109.3,84.1,35.6,10,19.6,21.2,23.33,101.5,88.7,109.7,52.2,14.3,36.6,17.4,32.26
"Alabama St.Delaware St.12-20",2024-12-20,"Alabama St.","Delaware St.",80,83,"N",110.1,131,116.6,57,17.5,39.4,17.2,34.38,114.3,120.4,120.9,64.5,13.1,14.3,34.5,50
"Alabama St.Florida A&M2-3",2025-02-03,"Alabama St.","Florida A&M",67,66,"A",105.5,108.4,108.3,42.7,8.1,26.8,29,25.93,93.2,120.6,106.6,47.5,17.8,44.7,18.3,38.24
"Alabama St.Jackson St.1-11",2025-01-11,"Alabama St.","Jackson St.",70,77,"A",101.3,118.1,100,48.5,15.7,31.7,23.1,28,100.9,106.6,110,56.7,20,28.1,51.9,50
"Alabama St.LSU11-10",2024-11-10,"Alabama St.","LSU",61,74,"A",97.6,93.7,84.4,34.2,20.8,35.7,43.3,5,89.8,94.7,102.4,52.1,20.8,20.7,72.3,35
"Alabama St.Lamar11-23",2024-11-23,"Alabama St.","Lamar",77,75,"N",113.1,117,113.5,56.6,13.3,20,45.3,38.1,105.3,116.4,110.5,50,19.2,35.3,51.9,38.1
"Alabama St.Missouri12-30",2024-12-30,"Alabama St.","Missouri",65,82,"A",97.9,100.5,91.4,44.6,16.9,25,15.4,40,108.8,93.8,115.2,57.8,16.9,26.7,31,31.03
"Alabama St.Nebraska Omaha11-22",2024-11-22,"Alabama St.","Nebraska Omaha",85,67,"N",112.8,93.5,118,58.2,13.9,20,52.7,40,89.1,120.8,93,39.7,13.9,27.1,41.3,22.22
"Alabama St.Norfolk St.12-19",2024-12-19,"Alabama St.","Norfolk St.",54,71,"N",76.7,110.2,82,33.6,16.7,29.5,37.9,11.54,103.9,82,107.8,49,19.7,37.9,56,30
"Alabama St.SMU12-3",2024-12-03,"Alabama St.","SMU",72,101,"A",112.8,119.8,98.8,44.2,11,25,23.2,31.71,122.6,110.6,138.6,55.1,11,47.6,49.3,34.48
"Alabama St.Southern Miss12-5",2024-12-05,"Alabama St.","Southern Miss",64,81,"A",92.6,111.3,86.6,38.7,9.5,18.4,16.9,31.03,95.9,97.7,109.6,57.5,17.6,24.2,28.3,36
"Alabama St.UNLV11-4",2024-11-04,"Alabama St.","UNLV",79,93,"A",119.6,125.2,113,51.6,17.2,32.4,32.8,40.91,121.1,121.5,133,64.7,15.7,41.9,48.3,45
"AlabamaHouston11-26",2024-11-26,"Alabama","Houston",85,80,"N",138.2,91.7,112.5,45.8,19.8,46.5,68.3,36.67,118.6,92.9,105.9,41.5,15.9,36.4,50.8,31.58
"AlabamaIllinois11-20",2024-11-20,"Alabama","Illinois",100,87,"N",143.3,93.4,123,59.3,8.6,18.9,17.3,32.35,116.3,104.5,107,52.1,16,31.8,33.8,33.33
"AlabamaKentucky1-18",2025-01-18,"Alabama","Kentucky",102,97,"A",137.4,104,131.1,54.5,12.8,37.5,50.7,38.24,136.6,110.7,124.6,55.5,10.3,32.5,27.4,40.74
"AlabamaMississippi St.1-29",2025-01-29,"Alabama","Mississippi St.",88,84,"A",137.7,106.9,126.5,61.1,20.1,43.6,31.7,48.39,132.2,107,120.8,56.1,12.9,35.1,24.2,32
"AlabamaNorth Carolina12-4",2024-12-04,"Alabama","North Carolina",94,79,"A",121.8,86.2,112.7,57.7,16.8,22.9,18.3,36.36,103.1,95.8,94.7,44.2,15.6,31.9,20.5,17.86
"AlabamaNorth Dakota12-18",2024-12-18,"Alabama","North Dakota",97,90,"A",117.2,116.3,129.3,61.1,18.7,45.7,47.6,32.35,133.1,107.9,120,54.6,14.7,36.4,10.5,41.46
"AlabamaOregon11-30",2024-11-30,"Alabama","Oregon",81,83,"N",118.9,103.1,109.9,51.6,20.4,35.7,31.2,31.58,123.3,92.9,112.6,47.7,10.9,29.3,37.9,29.41
"AlabamaPurdue11-15",2024-11-15,"Alabama","Purdue",78,87,"A",131.7,107.7,115.6,51.6,11.9,30.6,23.8,31.03,138.1,100,128.9,56.3,4.4,27.8,39.7,56.25
"AlabamaRutgers11-27",2024-11-27,"Alabama","Rutgers",95,90,"N",124.2,107.6,120.5,60.3,25.4,45.7,62.1,40,126.6,100.5,114.1,46.2,11.4,30.8,53.8,15.38
"AlabamaSouth Carolina1-8",2025-01-08,"Alabama","South Carolina",88,68,"A",130.2,91.2,119.4,60.9,14.9,29.7,31.2,42.11,101.4,100.8,92.3,45.4,20.4,21.9,46.3,21.43
"AlabamaTexas A&M1-11",2025-01-11,"Alabama","Texas A&M",94,88,"A",139.9,98.9,119.1,49.3,19,51.1,58.8,35.14,119.5,102.7,111.5,41.7,10.1,43.4,66.7,22.22
"AlbanyAmerican11-24",2024-11-24,"Albany","American",77,81,"N",99,120.3,107.9,48.3,14,28.6,43.3,30.77,111.2,109,113.5,74.4,22.4,19,53.3,56.25
"AlbanyArmy11-4",2024-11-04,"Albany","Army",59,67,"A",85.8,101,87.5,40,13.3,22,26.7,16.67,91.3,94.7,99.3,49,19.3,26.5,56,29.41
"AlbanyBinghamton1-18",2025-01-18,"Albany","Binghamton",70,65,"A",102.5,108.3,111,50,17.4,36.4,49,26.92,97.8,116.3,103.1,57,27,28.6,22,45
"AlbanyBoston University12-7",2024-12-07,"Albany","Boston University",74,80,"A",105.2,123.8,106.5,50.8,14.4,25.6,22.6,50,106,114.9,115.1,62.5,27.3,46.4,50,37.5
"AlbanyDartmouth11-13",2024-11-13,"Albany","Dartmouth",87,73,"A",118.6,108.5,121.4,51.4,7,34.9,18.9,32.26,98.1,125.7,101.8,54.3,22.3,18.5,66,25
"AlbanyFordham12-21",2024-12-21,"Albany","Fordham",83,87,"A",104.8,114.7,107.5,54.8,19.4,26.5,28.6,43.75,106.9,112.4,112.6,57.5,16.8,20.6,38.3,47.37
"AlbanyGeorgetown11-30",2024-11-30,"Albany","Georgetown",68,100,"A",104.3,126.5,88.5,42,23.4,24.3,42.9,31.82,116.8,99.5,130.1,70,19.5,30.4,13.8,40.91
"AlbanyMaine1-11",2025-01-11,"Albany","Maine",66,87,"A",97.8,127.7,92.6,47.4,28,41.7,29.3,27.78,112.7,99.8,122,66.4,14,7.4,32.7,47.83
"AlbanyNew Hampshire1-9",2025-01-09,"Albany","New Hampshire",61,57,"A",85.3,100.8,92.8,45.2,24.4,30.3,34.6,17.65,82.5,97,86.8,43.2,18.3,25,10.2,21.74
"AlbanySacred Heart12-18",2024-12-18,"Albany","Sacred Heart",74,66,"A",97.2,97.3,105,42.9,11.3,39.6,14.3,24,90.2,108.5,93.6,43.8,15.6,28.2,15.4,21.74
"AlbanySyracuse12-10",2024-12-10,"Albany","Syracuse",85,102,"A",119.5,136,116.8,52.9,6.9,29.3,27.1,35.71,130.2,124.9,140.1,68.3,15.1,37.5,28.6,40
"AlbanyUMKC11-23",2024-11-23,"Albany","UMKC",67,65,"N",108,105,104.9,53.1,12.5,14.3,47.9,26.32,93.2,113.6,101.8,52.2,26.6,47.8,64.4,33.33
"Alcorn St.Grambling St.2-3",2025-02-03,"Alcorn St.","Grambling St.",60,53,"A",94.6,94.3,97.6,57.6,30.9,43.5,23.9,58.33,81,110.2,86.2,41.3,19.5,22.6,23.1,23.81
"Alcorn St.Maryland12-1",2024-12-01,"Alcorn St.","Maryland",58,96,"A",98.6,109.5,79.7,35.1,19.2,30,25.4,25,119.2,96.6,132,67,17.9,36,42.9,47.83
"Alcorn St.Oklahoma12-7",2024-12-07,"Alcorn St.","Oklahoma",78,94,"A",116.4,112.7,108.1,61.4,24.9,30,21.1,50,122.5,122.4,130.2,64.1,16.6,33.3,21.9,32.43
"Alcorn St.Prairie View A&M1-20",2025-01-20,"Alcorn St.","Prairie View A&M",78,70,"A",101.1,99,106.5,59.6,34.1,47.6,57.4,37.5,89.6,120.5,95.6,51.7,20.5,29.7,26.7,32
"Alcorn St.Rice12-16",2024-12-16,"Alcorn St.","Rice",75,77,"A",102.2,109.2,104.3,59.3,25,25.8,31.5,47.62,104.4,113.6,107.1,58.8,25,29,21.1,39.39
"Alcorn St.South Alabama11-29",2024-11-29,"Alcorn St.","South Alabama",65,74,"A",110.5,110,99.4,43.8,22.9,42.2,15.4,38.46,103.2,116.2,113.2,53.6,12.2,23.5,33.9,34.29
"Alcorn St.Southern2-1",2025-02-01,"Alcorn St.","Southern",69,74,"A",104.1,108.2,96.4,49.1,21,28.1,31,33.33,96.7,109.6,103.4,46.2,12.6,22.6,67.3,27.27
"Alcorn St.TCU11-19",2024-11-19,"Alcorn St.","TCU",48,71,"A",83.5,105.8,73.4,33.9,27.5,37.1,21.4,30.77,103,82.5,108.6,55.5,16.8,32.4,34.5,34.38
"Alcorn St.Texas Southern1-18",2025-01-18,"Alcorn St.","Texas Southern",57,66,"A",83.7,111.9,86.5,38.7,31.9,58.1,24.2,28.57,98.7,92.6,100.1,48.3,18.2,27.3,20.7,12.5
"Alcorn St.Tulane11-11",2024-11-11,"Alcorn St.","Tulane",51,84,"A",83.5,129,79.2,36.6,24.9,41,28.6,10,124,88.8,130.5,58.5,18.6,41.9,25.4,42.86
"Alcorn St.UAB12-22",2024-12-22,"Alcorn St.","UAB",74,91,"A",111.1,126.2,113.7,52.4,10.8,22.9,14.5,52.38,134.3,125.5,139.8,59.3,10.8,42.9,39,32
"Alcorn St.UC Riverside11-24",2024-11-24,"Alcorn St.","UC Riverside",52,69,"A",80.3,98.8,77.5,34.4,16.4,29.8,21.9,22.22,96.4,88.3,102.9,44.4,17.9,39.5,32.3,30.56
"Alcorn St.Utah St.11-6",2024-11-06,"Alcorn St.","Utah St.",46,101,"A",76.3,122.9,65.8,35.5,28.6,23.8,20,33.33,131.8,80.4,144.5,59.7,12.9,54.1,25,38.71
"Alcorn St.Utah11-4",2024-11-04,"Alcorn St.","Utah",59,100,"A",103.4,137.4,89.2,39.1,21.2,36.8,40,27.27,137.1,107.6,151.1,72.8,15.1,42.9,43.9,50
"Alcorn St.Washington11-22",2024-11-22,"Alcorn St.","Washington",60,77,"A",104.8,111.5,93.1,42.2,15.5,28.6,20.7,20,109.1,109.2,119.4,56.1,20.2,35.5,61.2,31.82
"Alcorn St.Wichita St.12-4",2024-12-04,"Alcorn St.","Wichita St.",54,78,"A",79.5,108.4,77.1,29.5,11.4,35.6,27.4,22.73,104.6,87.8,111.4,51.6,14.3,25.7,29.5,30
"AmericanBoston University1-8",2025-01-08,"American","Boston University",54,60,"A",91.7,109.6,92.2,42,13.7,18.2,26,28.57,95.1,97.1,102.4,48.9,17.1,25.8,44.7,28.57
"AmericanHigh Point11-18",2024-11-18,"American","High Point",73,80,"A",123.1,121.8,125.1,62.5,18.9,48,23.1,31.82,129.2,129.7,137.1,62.7,13.7,39.1,41.2,42.86
"AmericanHoly Cross1-18",2025-01-18,"American","Holy Cross",74,65,"A",109.8,107.7,118.6,56.6,14.4,26.7,30.2,43.48,98.4,122.5,104.1,58.8,17.6,13.8,21.6,40
"AmericanLa Salle11-4",2024-11-04,"American","La Salle",52,65,"A",91.3,110.6,87.9,44.5,16.9,24.3,14.5,29.03,102,92.7,109.8,46.4,11.8,35.3,32.7,31.25
"AmericanLafayette1-29",2025-01-29,"American","Lafayette",75,68,"A",114.2,115.3,117.4,50,9.4,22.9,28.8,39.29,101.4,120.4,106.4,51.7,12.5,31.4,20,38.1
"AmericanLoyola MD1-13",2025-01-13,"American","Loyola MD",73,54,"A",110.9,90.7,117.5,58.9,12.9,24.1,17.9,43.48,81.1,122.5,86.9,48.9,22.5,16.1,40,30.77
"AmericanNavy1-2",2025-01-02,"American","Navy",58,81,"A",90.6,127.2,90.5,45.5,14,18.4,19.6,27.27,116.6,96.6,126.4,59.1,9.4,25,41.8,35.71
"AmericanNorth Carolina11-15",2024-11-15,"American","North Carolina",55,107,"A",96.1,117.8,74.1,36.9,17.5,16.3,18,22.58,122.1,92,144.2,64.8,12.1,38.5,55.7,31.82
"AmericanSaint Joseph's12-18",2024-12-18,"American","Saint Joseph's",57,84,"A",92.7,119.1,84.4,42,23.7,29.7,26.8,29.17,116.4,88.3,124.4,68.8,22.2,30,43.8,50
"AmericanSiena11-12",2024-11-12,"American","Siena",66,74,"A",109.3,129.6,111.3,51.8,13.5,27.3,21.8,50,117.1,115.9,124.8,59.6,16.9,40,53.2,44.44
"AmericanUMKC11-22",2024-11-22,"American","UMKC",64,60,"N",94.5,96.5,95.6,45.3,29.9,30.8,62.8,15,86.8,96.4,89.7,44.9,22.4,23.3,38.8,41.67
"AmericanVirginia12-22",2024-12-22,"American","Virginia",58,63,"A",106.1,102.8,99.2,49,12,10,18,35.48,100.1,104.4,107.8,54,13.7,20.7,28,42.11
"Appalachian St.Arkansas St.1-23",2025-01-23,"Appalachian St.","Arkansas St.",55,65,"A",91.4,94.5,84.4,39,13.8,25,23.7,7.41,103.8,89.3,99.8,40.9,9.2,31,21.2,23.08
"Appalachian St.Colgate11-29",2024-11-29,"Appalachian St.","Colgate",72,50,"N",113.9,87.6,122.3,62.5,15.3,28.6,8.9,38.46,91.7,124.8,84.9,45.3,17,20.6,9.4,29.63
"Appalachian St.High Point12-14",2024-12-14,"Appalachian St.","High Point",59,65,"N",83.5,79.6,83,39.5,23.9,30,31.6,35.71,94.3,88.7,91.5,41,18.3,26.8,29.5,20.69
"Appalachian St.James Madison1-18",2025-01-18,"Appalachian St.","James Madison",58,50,"A",95.7,79.1,95.1,52.1,18,12.5,27.1,50,86.2,99.2,82,44.1,21.3,18.2,11.8,31.03
"Appalachian St.Louisiana Monroe1-25",2025-01-25,"Appalachian St.","Louisiana Monroe",66,58,"A",94.9,100.7,101.6,49,21.5,32.4,48,40.91,97.4,102.6,89.3,33.6,6.2,26.2,28.1,15.79
"Appalachian St.Louisiana12-18",2024-12-18,"Appalachian St.","Louisiana",62,68,"A",86.3,115.2,94,45.8,16.7,20.6,60.4,22.22,114.4,92.4,103.1,50,18.2,27.3,30.9,37.5
"Appalachian St.North Texas12-20",2024-12-20,"Appalachian St.","North Texas",64,68,"A",126.4,116.1,113.7,60.7,21.3,22.7,38.1,36.84,127,118.7,120.8,55.2,21.3,48.1,39.6,25
"Appalachian St.Old Dominion1-16",2025-01-16,"Appalachian St.","Old Dominion",62,43,"A",107.3,79.3,109.4,48.1,10.6,28.6,27.8,27.27,79.4,114.6,75.9,34.7,19.4,27,26.5,21.05
"Appalachian St.Sam Houston St.11-27",2024-11-27,"Appalachian St.","Sam Houston St.",66,63,"N",95.6,94.5,100.7,46.2,18.3,29.4,41.5,29.17,103.6,102.6,96.1,41.4,13.7,34.1,21.9,21.43
"Appalachian St.UNC Wilmington11-30",2024-11-30,"Appalachian St.","UNC Wilmington",61,76,"A",101.5,118,100.5,41.5,14.8,30.6,39.6,11.76,132.2,104.5,125.2,47.5,6.6,38.5,36.1,30.77
"Appalachian St.Wisconsin11-10",2024-11-10,"Appalachian St.","Wisconsin",56,87,"A",96.4,99.8,80.7,43.8,25.9,27.5,23.2,29.17,124.4,91.8,125.4,52.9,8.6,35.9,22.9,28.57
"Arizona St.BYU12-31",2024-12-31,"Arizona St.","BYU",56,76,"A",95.1,100.7,86.6,42.1,20.1,30.6,17.5,20.69,127.5,85.5,117.5,56.9,21.6,43.3,24.1,31.25
"Arizona St.Cincinnati1-18",2025-01-18,"Arizona St.","Cincinnati",60,67,"A",103.6,102.2,91.1,40.3,21.2,40,21,27.27,112.1,88.3,101.7,45.8,10.6,25.7,26.7,22.73
"Arizona St.Colorado1-28",2025-01-28,"Arizona St.","Colorado",70,68,"A",108.2,93.1,100.1,52,24.3,23.3,53.1,31.82,104.1,100,97.2,46.6,17.2,30.6,34.5,23.53
"Arizona St.Florida12-14",2024-12-14,"Arizona St.","Florida",66,83,"N",99.4,95.9,87.5,42.7,15.9,14.6,30.6,28,122.3,84.2,110.1,55.2,18.6,36.4,14.9,33.33
"Arizona St.Gonzaga11-10",2024-11-10,"Arizona St.","Gonzaga",80,88,"A",124.2,102.2,111.8,54.8,14,17.6,19,31.03,131.7,111.9,122.9,56.5,11.2,30.3,35.5,33.33
"Arizona St.Grand Canyon11-14",2024-11-14,"Arizona St.","Grand Canyon",87,76,"N",125.2,102.4,116.9,63.9,20.2,20.8,38.9,44,115.2,111.1,102.1,50,20.2,33.3,42.4,41.18
"Arizona St.Kansas1-8",2025-01-08,"Arizona St.","Kansas",55,74,"A",104.9,94.3,82.2,41.5,26.9,26.5,22.6,25,114.3,86.3,110.6,49.2,17.9,41.2,21,30.43
"Arizona St.Massachusetts12-21",2024-12-21,"Arizona St.","Massachusetts",78,62,"N",105.5,94.6,109,51.6,18.2,29.4,25.8,40,101.7,100.3,86.6,43.3,15.4,20.9,30,37.5
"Arizona St.New Mexico11-28",2024-11-28,"Arizona St.","New Mexico",85,82,"N",129.8,106.3,116.1,55.5,13.7,27.3,58.2,47.37,124.7,111.7,112,42.9,15,35.9,50.8,37.5
"Arizona St.Saint Mary's11-29",2024-11-29,"Arizona St.","Saint Mary's",68,64,"N",111.1,88,101.2,50,14.9,22.2,19.7,27.78,107.4,96.1,95.2,48.3,19.3,33.3,20,47.06
"Arizona St.Santa Clara11-8",2024-11-08,"Arizona St.","Santa Clara",81,74,"N",119.5,97.7,115.4,59.4,21.4,32.4,50.9,41.67,117.8,110.6,105.4,48.5,12.8,29.3,24.2,30.3
