"game_id","date","Team","Opponent","Team_Score","Opponent_Score","Location","ADJO","ADJD","EFF","EFG_pct","TO_Pct","OR_Pct","FTR_Pct","ThreePointer_Pct","opp_ADJO","opp_ADJD","Opp_EFF","Opp_EFG_Pct","Opp_TO_Pct","Opp_OR_Pct","Opp_FTR_Pct","Opp_ThreePointer_Pct"
"AlabamaIllinois11-20",2024-11-20,"Alabama","Illinois",100,87,"N",142.3,95.6,123,59.3,8.6,18.9,17.3,32.35,114.5,105.8,107,52.1,16,31.8,33.8,33.33
"AlabamaNorth Carolina12-4",2024-12-04,"Alabama","North Carolina",94,79,"A",120,84.1,112.7,57.7,16.8,22.9,18.3,36.36,101.6,97,94.7,44.2,15.6,31.9,20.5,17.86
"AlabamaNorth Dakota12-18",2024-12-18,"Alabama","North Dakota",97,90,"A",118.4,120.8,129.3,61.1,18.7,45.7,47.6,32.35,131.1,109.2,120,54.6,14.7,36.4,10.5,41.46
"AlabamaOregon11-30",2024-11-30,"Alabama","Oregon",81,83,"N",123.8,100.8,109.9,51.6,20.4,35.7,31.2,31.58,121.4,94.1,112.6,47.7,10.9,29.3,37.9,29.41
"AlabamaPurdue11-15",2024-11-15,"Alabama","Purdue",78,87,"A",126.1,110.8,115.6,51.6,11.9,30.6,23.8,31.03,136,101.2,128.9,56.3,4.4,27.8,39.7,56.25
"AlabamaRutgers11-27",2024-11-27,"Alabama","Rutgers",95,90,"N",123.1,106.9,120.5,60.3,25.4,45.7,62.1,40,124.7,101.7,114.1,46.2,11.4,30.8,53.8,15.38
"AlbanyAmerican11-24",2024-11-24,"Albany","American",77,81,"N",99.3,119.3,107.9,48.3,14,28.6,43.3,30.77,111.5,104.1,113.5,74.4,22.4,19,53.3,56.25
"AlbanyArmy11-4",2024-11-04,"Albany","Army",59,67,"A",84.5,100.5,87.5,40,13.3,22,26.7,16.67,91.6,90.5,99.3,49,19.3,26.5,56,29.41
"AlbanyBoston University12-7",2024-12-07,"Albany","Boston University",74,80,"A",105.8,117.6,106.5,50.8,14.4,25.6,22.6,50,106.4,109.8,115.1,62.5,27.3,46.4,50,37.5
"AlbanyDartmouth11-13",2024-11-13,"Albany","Dartmouth",87,73,"A",117.3,110,121.4,51.4,7,34.9,18.9,32.26,98.4,120.1,101.8,54.3,22.3,18.5,66,25
"AlbanyFordham12-21",2024-12-21,"Albany","Fordham",83,87,"A",105.6,117,107.5,54.8,19.4,26.5,28.6,43.75,107.2,107.4,112.6,57.5,16.8,20.6,38.3,47.37
"AlbanyGeorgetown11-30",2024-11-30,"Albany","Georgetown",68,100,"A",102.7,122.3,88.5,42,23.4,24.3,42.9,31.82,117.1,95,130.1,70,19.5,30.4,13.8,40.91
"AlbanySacred Heart12-18",2024-12-18,"Albany","Sacred Heart",74,66,"A",99.7,97.8,105,42.9,11.3,39.6,14.3,24,90.5,103.7,93.6,43.8,15.6,28.2,15.4,21.74
"AlbanySyracuse12-10",2024-12-10,"Albany","Syracuse",85,102,"A",116.3,134.5,116.8,52.9,6.9,29.3,27.1,35.71,130.6,119.4,140.1,68.3,15.1,37.5,28.6,40
"AlbanyUMKC11-23",2024-11-23,"Albany","UMKC",67,65,"N",106.1,102.8,104.9,53.1,12.5,14.3,47.9,26.32,93.5,108.5,101.8,52.2,26.6,47.8,64.4,33.33
"Alcorn St.Maryland12-1",2024-12-01,"Alcorn St.","Maryland",58,96,"A",99.7,113.1,79.7,35.1,19.2,30,25.4,25,113.2,94.3,132,67,17.9,36,42.9,47.83
"Alcorn St.Oklahoma12-7",2024-12-07,"Alcorn St.","Oklahoma",78,94,"A",116.1,114.3,108.1,61.4,24.9,30,21.1,50,116.3,119.5,130.2,64.1,16.6,33.3,21.9,32.43
"Alcorn St.Rice12-16",2024-12-16,"Alcorn St.","Rice",75,77,"A",106.8,113,104.3,59.3,25,25.8,31.5,47.62,99.1,110.9,107.1,58.8,25,29,21.1,39.39
"Alcorn St.South Alabama11-29",2024-11-29,"Alcorn St.","South Alabama",65,74,"A",106.4,108.6,99.4,43.8,22.9,42.2,15.4,38.46,98,113.5,113.2,53.6,12.2,23.5,33.9,34.29
"Alcorn St.TCU11-19",2024-11-19,"Alcorn St.","TCU",48,71,"A",83.9,105,73.4,33.9,27.5,37.1,21.4,30.77,97.8,80.5,108.6,55.5,16.8,32.4,34.5,34.38
"Alcorn St.Tulane11-11",2024-11-11,"Alcorn St.","Tulane",51,84,"A",81.6,130.5,79.2,36.6,24.9,41,28.6,10,117.7,86.7,130.5,58.5,18.6,41.9,25.4,42.86
"Alcorn St.UAB12-22",2024-12-22,"Alcorn St.","UAB",74,91,"A",108.4,129,113.7,52.4,10.8,22.9,14.5,52.38,127.4,122.6,139.8,59.3,10.8,42.9,39,32
"Alcorn St.UC Riverside11-24",2024-11-24,"Alcorn St.","UC Riverside",52,69,"A",80.8,101.8,77.5,34.4,16.4,29.8,21.9,22.22,91.5,86.2,102.9,44.4,17.9,39.5,32.3,30.56
"Alcorn St.Utah St.11-6",2024-11-06,"Alcorn St.","Utah St.",46,101,"A",79,126.5,65.8,35.5,28.6,23.8,20,33.33,125.1,78.5,144.5,59.7,12.9,54.1,25,38.71
"Alcorn St.Utah11-4",2024-11-04,"Alcorn St.","Utah",59,100,"A",105.5,136.8,89.2,39.1,21.2,36.8,40,27.27,130.1,105.1,151.1,72.8,15.1,42.9,43.9,50
"Alcorn St.Washington11-22",2024-11-22,"Alcorn St.","Washington",60,77,"A",103.6,111.9,93.1,42.2,15.5,28.6,20.7,20,103.6,106.7,119.4,56.1,20.2,35.5,61.2,31.82
"Alcorn St.Wichita St.12-4",2024-12-04,"Alcorn St.","Wichita St.",54,78,"A",83.5,106.6,77.1,29.5,11.4,35.6,27.4,22.73,99.3,85.8,111.4,51.6,14.3,25.7,29.5,30
"AmericanHigh Point11-18",2024-11-18,"American","High Point",73,80,"A",121.5,125.3,125.1,62.5,18.9,48,23.1,31.82,129.6,128.6,137.1,62.7,13.7,39.1,41.2,42.86
"AmericanLa Salle11-4",2024-11-04,"American","La Salle",52,65,"A",92.2,108.7,87.9,44.5,16.9,24.3,14.5,29.03,102.3,91.9,109.8,46.4,11.8,35.3,32.7,31.25
"AmericanNorth Carolina11-15",2024-11-15,"American","North Carolina",55,107,"A",94.6,114.9,74.1,36.9,17.5,16.3,18,22.58,122.5,91.2,144.2,64.8,12.1,38.5,55.7,31.82
"AmericanSaint Joseph's12-18",2024-12-18,"American","Saint Joseph's",57,84,"A",92.5,119.1,84.4,42,23.7,29.7,26.8,29.17,116.8,87.6,124.4,68.8,22.2,30,43.8,50
"AmericanSiena11-12",2024-11-12,"American","Siena",66,74,"A",110.9,130.7,111.3,51.8,13.5,27.3,21.8,50,117.5,114.9,124.8,59.6,16.9,40,53.2,44.44
"AmericanUMKC11-22",2024-11-22,"American","UMKC",64,60,"N",92.8,94.5,95.6,45.3,29.9,30.8,62.8,15,87.1,95.6,89.7,44.9,22.4,23.3,38.8,41.67
"AmericanVirginia12-22",2024-12-22,"American","Virginia",58,63,"A",111.2,105.9,99.2,49,12,10,18,35.48,100.4,103.5,107.8,54,13.7,20.7,28,42.11
"Appalachian St.Colgate11-29",2024-11-29,"Appalachian St.","Colgate",72,50,"N",115,90.5,122.3,62.5,15.3,28.6,8.9,38.46,89.1,127.4,84.9,45.3,17,20.6,9.4,29.63
"Appalachian St.High Point12-14",2024-12-14,"Appalachian St.","High Point",59,65,"N",82.5,81.9,83,39.5,23.9,30,31.6,35.71,91.6,90.5,91.5,41,18.3,26.8,29.5,20.69
"Appalachian St.Louisiana12-18",2024-12-18,"Appalachian St.","Louisiana",62,68,"A",84.9,110.2,94,45.8,16.7,20.6,60.4,22.22,111.2,94.3,103.1,50,18.2,27.3,30.9,37.5
"Appalachian St.North Texas12-20",2024-12-20,"Appalachian St.","North Texas",64,68,"A",125.7,117.1,113.7,60.7,21.3,22.7,38.1,36.84,123.4,121.2,120.8,55.2,21.3,48.1,39.6,25
"Appalachian St.Sam Houston St.11-27",2024-11-27,"Appalachian St.","Sam Houston St.",66,63,"N",94.6,92.2,100.7,46.2,18.3,29.4,41.5,29.17,100.7,104.7,96.1,41.4,13.7,34.1,21.9,21.43
"Appalachian St.UNC Wilmington11-30",2024-11-30,"Appalachian St.","UNC Wilmington",61,76,"A",100,118.5,100.5,41.5,14.8,30.6,39.6,11.76,128.4,106.7,125.2,47.5,6.6,38.5,36.1,30.77
"Appalachian St.Wisconsin11-10",2024-11-10,"Appalachian St.","Wisconsin",56,87,"A",93.9,102.6,80.7,43.8,25.9,27.5,23.2,29.17,120.9,93.7,125.4,52.9,8.6,35.9,22.9,28.57
"Arizona St.BYU12-31",2024-12-31,"Arizona St.","BYU",56,76,"A",95.2,103.4,86.6,42.1,20.1,30.6,17.5,20.69,123.9,85.2,117.5,56.9,21.6,43.3,24.1,31.25
"Arizona St.Florida12-14",2024-12-14,"Arizona St.","Florida",66,83,"N",97.2,96.5,87.5,42.7,15.9,14.6,30.6,28,118.8,83.9,110.1,55.2,18.6,36.4,14.9,33.33
"Arizona St.Gonzaga11-10",2024-11-10,"Arizona St.","Gonzaga",80,88,"A",128.1,102.2,111.8,54.8,14,17.6,19,31.03,127.9,111.5,122.9,56.5,11.2,30.3,35.5,33.33
"Arizona St.Grand Canyon11-14",2024-11-14,"Arizona St.","Grand Canyon",87,76,"N",124.4,104,116.9,63.9,20.2,20.8,38.9,44,111.9,110.7,102.1,50,20.2,33.3,42.4,41.18
"Arizona St.Massachusetts12-21",2024-12-21,"Arizona St.","Massachusetts",78,62,"N",101.7,94.9,109,51.6,18.2,29.4,25.8,40,98.8,99.9,86.6,43.3,15.4,20.9,30,37.5
"Arizona St.New Mexico11-28",2024-11-28,"Arizona St.","New Mexico",85,82,"N",120.8,103.8,116.1,55.5,13.7,27.3,58.2,47.37,121.1,111.3,112,42.9,15,35.9,50.8,37.5
"Arizona St.Saint Mary's11-29",2024-11-29,"Arizona St.","Saint Mary's",68,64,"N",105.5,89.5,101.2,50,14.9,22.2,19.7,27.78,104.3,95.8,95.2,48.3,19.3,33.3,20,47.06
"Arizona St.Santa Clara11-8",2024-11-08,"Arizona St.","Santa Clara",81,74,"N",117.9,97.1,115.4,59.4,21.4,32.4,50.9,41.67,114.4,110.2,105.4,48.5,12.8,29.3,24.2,30.3
"ArizonaDavidson11-27",2024-11-27,"Arizona","Davidson",104,71,"N",125.4,91.4,132.2,64.5,17.8,36.4,29,50,107.4,111.3,90.3,45.8,15.3,22.2,11.3,32.35
"ArizonaOklahoma11-28",2024-11-28,"Arizona","Oklahoma",77,82,"N",113.2,108.5,110.8,46.9,14.4,39.5,29.2,26.32,132.5,96.6,118,53.4,24.5,44.1,36.2,41.38
"ArizonaUCLA12-14",2024-12-14,"Arizona","UCLA",54,57,"N",100.8,82.4,84,47.6,34.2,36,45.2,12.5,96,76.1,88.6,49,21.8,24.2,31.4,19.05
"ArizonaWest Virginia11-29",2024-11-29,"Arizona","West Virginia",76,83,"N",118.5,105.2,104.4,50.8,19.2,32.4,20.3,33.33,123.8,94.5,114,48.5,13.7,35.7,32.4,35.29
"ArizonaWisconsin11-15",2024-11-15,"Arizona","Wisconsin",88,103,"A",114.8,108.5,107.1,40.5,15.8,48,54.1,17.39,135.8,97.1,125.4,59.6,12.2,6.7,90.4,44.44
"Arkansas Pine BluffCincinnati11-4",2024-11-04,"Arkansas Pine Bluff","Cincinnati",54,109,"A",95.5,125,72.2,38.1,22.7,20.5,23.7,26.32,116.4,90.8,145.7,66.7,12,50,31.9,50
"Arkansas Pine BluffIncarnate Word11-16",2024-11-16,"Arkansas Pine Bluff","Incarnate Word",64,92,"A",95.4,128.9,95.3,47.3,19.4,23.5,26.8,27.78,112.5,111.6,137.1,64.3,11.9,42.9,23.8,39.29
"Arkansas Pine BluffKansas St.12-1",2024-12-01,"Arkansas Pine Bluff","Kansas St.",73,120,"A",99.1,137.1,91.1,51.5,25,29.7,8.8,21.43,126.9,102.7,149.8,77.7,16.2,37,40,52.5
"Arkansas Pine BluffLouisiana Monroe12-11",2024-12-11,"Arkansas Pine Bluff","Louisiana Monroe",73,89,"A",95.3,119.5,93.9,50.8,19.3,19.4,35,20,94.4,108.4,114.5,63.2,23.2,28.6,38.6,41.67
"Arkansas Pine BluffMissouri11-24",2024-11-24,"Arkansas Pine Bluff","Missouri",63,112,"A",91.3,122.2,80.7,42.7,24.3,26.2,22.6,32.14,118.5,95,143.5,58.5,10.2,47.5,57.7,28.12
"Arkansas Pine BluffPacific11-27",2024-11-27,"Arkansas Pine Bluff","Pacific",71,83,"A",105.2,121.8,102.2,56.6,17.3,12.5,32.1,36.36,99.5,116.4,119.5,52.4,17.3,45.9,39.7,24
"Arkansas Pine BluffSouth Florida11-12",2024-11-12,"Arkansas Pine Bluff","South Florida",69,85,"A",95.6,120.2,98.1,45.8,17.1,31.6,31.7,21.74,106.2,104.8,120.8,44.9,11.4,42.9,47.8,23.53
"Arkansas Pine BluffTexas Tech11-18",2024-11-18,"Arkansas Pine Bluff","Texas Tech",64,98,"A",100.7,112.9,88.4,58.3,31.8,19.2,27.1,37.5,112.8,101.7,135.3,71,20.7,37,19.4,40
"Arkansas Pine BluffTexas12-15",2024-12-15,"Arkansas Pine Bluff","Texas",57,121,"A",88.3,138.9,74.7,44.3,28.8,16.7,32.1,14.29,132.3,87.5,158.6,75,9.2,39.3,28.6,56.67
"Arkansas Pine BluffTulsa11-9",2024-11-09,"Arkansas Pine Bluff","Tulsa",80,103,"A",105.3,137.3,105.6,60,26.4,29,16.7,34.48,116.7,116.2,136,57.7,9.2,39,40.8,30.77
"Arkansas St.Alabama11-8",2024-11-08,"Arkansas St.","Alabama",79,88,"A",102.1,87.8,93.5,45.2,15.4,18.2,58.1,21.43,109.1,91.9,104.1,45.5,14.2,29.8,66.7,19.35
"Arkansas St.Hofstra12-1",2024-12-01,"Arkansas St.","Hofstra",66,68,"N",101.5,109,98.9,50,22.5,20.7,45.8,31.58,108.8,95.4,101.9,51.9,18,28.1,35.2,33.33
"Arkansas St.Indiana St.11-29",2024-11-29,"Arkansas St.","Indiana St.",86,81,"N",112.1,102.9,116.3,52.2,10.8,30,32.4,34.62,112.5,116.4,109.5,48.5,12.2,28.6,29.9,28.12
"Arkansas St.Memphis12-8",2024-12-08,"Arkansas St.","Memphis",85,72,"A",113.7,78.9,104.3,45.1,20.9,41,38,33.33,90.7,104.5,88.4,41.5,24.5,37.8,57.6,31.82
"Arkansas St.Rice11-30",2024-11-30,"Arkansas St.","Rice",67,75,"N",103.7,109.9,96.9,37.7,20.3,37.2,54.4,11.54,110.8,98.1,108.5,42.2,17.4,36.1,76.5,33.33
"Arkansas St.UAB12-15",2024-12-15,"Arkansas St.","UAB",98,89,"A",100.1,96.3,109.6,50,15.7,31.9,30.4,33.33,109.4,103.1,99.6,48,13.4,19.1,32,32.26
"ArkansasBaylor11-9",2024-11-09,"Arkansas","Baylor",67,72,"N",108.1,98,103,45.7,16.9,34.3,29.3,25,123.9,94.8,110.6,52.6,12.3,26.5,29.3,29.17
"ArkansasCentral Arkansas12-14",2024-12-14,"Arkansas","Central Arkansas",82,57,"N",120.5,96.1,126.3,68.2,18.5,30.4,16.4,45,95.8,119.2,87.8,39.8,13.9,17.1,33.3,25
"ArkansasIllinois11-28",2024-11-28,"Arkansas","Illinois",77,90,"N",119.4,115.2,106.7,52.6,15.2,26.3,46.6,29.41,139.8,98.1,124.8,65.8,15.2,22.2,38.6,48.39
"ArkansasMiami FL12-3",2024-12-03,"Arkansas","Miami FL",76,73,"A",105.2,98.6,112.5,57.3,16.3,26.5,14.5,47.83,120.4,104.4,108.1,55.8,16.3,25,13.3,31.03
"ArkansasMichigan12-10",2024-12-10,"Arkansas","Michigan",89,87,"N",129.8,100.8,114.8,56.8,18.1,33.3,33.3,39.13,123.9,107.5,112.3,64.4,21.9,26.7,30.5,44.44
"ArmyDuke11-8",2024-11-08,"Army","Duke",58,100,"A",107.1,117.3,81.8,39.1,18.3,23.3,14.1,27.59,124.9,92.7,141,61.3,11.3,43.6,25.4,44.74
"ArmyGeorge Washington12-13",2024-12-13,"Army","George Washington",60,75,"A",98.6,111.6,92.7,41,18.5,41.5,10.4,16.67,103.6,101.9,115.9,58,12.4,20,26.8,39.39
"ArmyLe Moyne12-3",2024-12-03,"Army","Le Moyne",103,100,"A",101.9,109.2,106.1,46,11.3,27.3,33.3,25.64,94.8,112.4,103,44.8,13.4,26.9,27.6,25.81
"ArmyManhattan11-22",2024-11-22,"Army","Manhattan",79,80,"A",103.4,110.7,110.2,57.4,18.1,27.3,21.3,52.63,102.5,117.1,111.6,50,8.4,25.6,18.6,33.33
"ArmyMarist11-15",2024-11-15,"Army","Marist",88,91,"A",126.7,133.8,125.6,61.7,12.8,32.4,25,44,119.7,132.9,129.9,60.8,17.1,44.1,27.7,36
"AuburnDuke12-4",2024-12-04,"Auburn","Duke",78,84,"A",152.6,115.4,124.3,53.1,12.7,40.5,18.8,40,145.6,102.3,133.8,57.8,6.4,33.3,46.6,40.91
"AuburnHouston11-9",2024-11-09,"Auburn","Houston",74,69,"N",142.7,101,118.9,59.8,19.3,37.9,37.3,30.43,126.4,93.5,110.9,45.7,16.1,40.5,37.9,38.46
"AuburnIowa St.11-25",2024-11-25,"Auburn","Iowa St.",83,81,"N",126.8,101,116.7,55.1,16.9,31.2,37.3,33.33,129.8,91.7,113.9,53.8,12.7,16.7,54.7,38.89
"AuburnMemphis11-27",2024-11-27,"Auburn","Memphis",90,76,"N",146.1,101.1,134.2,63.3,13.4,37.9,28.3,33.33,122.6,110.5,113.3,55.4,16.4,27.6,33.9,66.67
"AuburnNorth Carolina11-26",2024-11-26,"Auburn","North Carolina",85,72,"N",122.1,86.1,114.8,51.4,10.8,27.5,24.6,36.67,106.5,93.5,97.2,48.4,13.5,18.4,30.6,37.5
"AuburnOhio St.12-14",2024-12-14,"Auburn","Ohio St.",91,53,"N",145.5,77.2,139.3,54.9,7.7,41,19.4,43.33,93.8,109.5,81.1,41.2,12.2,13.2,37.3,37.5
"AuburnPurdue12-21",2024-12-21,"Auburn","Purdue",87,69,"N",136.7,89.9,128.7,62.1,13.3,37.5,13.6,38.46,113,103.9,102.1,45.8,17.8,34.1,39,34.78
"Austin PeayButler11-8",2024-11-08,"Austin Peay","Butler",68,66,"A",109.4,91.7,103.3,48.4,12.2,28.6,22.6,23.53,99.5,117.5,100.2,50,24.3,33.3,38.8,28
"Austin PeayEast Tennessee St.11-30",2024-11-30,"Austin Peay","East Tennessee St.",57,79,"A",88.6,113.8,86.3,39.5,15.1,20.5,29.8,26.92,116.8,100.6,119.6,54,13.6,41.7,27,38.1
"Austin PeayGeorgia St.11-26",2024-11-26,"Austin Peay","Georgia St.",62,50,"N",95.1,88,100,50,19.4,26.5,38,47.62,84,109,80.7,44.9,27.4,17.2,59,38.46
"Austin PeayMorehead St.11-20",2024-11-20,"Austin Peay","Morehead St.",58,63,"A",92.9,102,93.8,44.5,12.9,20.6,21.8,31.25,98.5,109.8,101.9,51,17.8,25.8,42.9,15.38
"Austin PeayOhio12-18",2024-12-18,"Austin Peay","Ohio",58,78,"A",80.4,111.3,84,43.3,26.1,27.8,75.6,27.78,116.5,90.8,112.9,64,21.7,20,38,50
"Austin PeaySamford12-8",2024-12-08,"Austin Peay","Samford",47,72,"A",78.7,94,72.6,37,24.7,26.3,18.5,11.76,103.1,91.1,111.2,49.2,18.5,43.9,15.2,35.48
"Austin PeayTennessee11-17",2024-11-17,"Austin Peay","Tennessee",68,103,"A",118.4,124.9,94.6,43.5,18.1,26.8,27.4,30.3,140.7,109.8,143.3,68.1,15.3,48.1,56.9,35.71
"Austin PeayUT Arlington11-27",2024-11-27,"Austin Peay","UT Arlington",58,68,"N",93.2,99.9,92.3,43.4,11.1,22.5,13.1,26.92,104.9,108.2,108.3,51.1,20.7,25,61.4,52.94
"Austin PeayVanderbilt12-21",2024-12-21,"Austin Peay","Vanderbilt",55,85,"A",79.8,105,75.7,33.3,19.3,24.4,36.7,10.53,117.7,84.7,117,68.8,23.4,25,56.2,44.44
